2025-05-25 00:59:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 7:40:43.156633
2025-05-25 00:59:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-25.32
2025-05-25 00:59:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 00:59:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:04:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:04:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 7:45:43.135133
2025-05-25 01:04:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-22.89
2025-05-25 01:04:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:04:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:09:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:09:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 7:50:43.136578
2025-05-25 01:09:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-19.72
2025-05-25 01:09:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:09:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:14:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:14:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 7:55:43.137959
2025-05-25 01:14:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-17.39
2025-05-25 01:14:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:14:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:19:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:19:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:00:43.166293
2025-05-25 01:19:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-22.52
2025-05-25 01:19:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:19:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:24:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:24:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:05:43.170172
2025-05-25 01:24:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-16.32
2025-05-25 01:24:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:24:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:29:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:29:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:10:43.173758
2025-05-25 01:29:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-12.42
2025-05-25 01:29:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:29:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:34:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:34:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:15:43.178064
2025-05-25 01:34:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-15.07
2025-05-25 01:34:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:34:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:39:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:39:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:20:43.193683
2025-05-25 01:39:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-17.78
2025-05-25 01:39:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:39:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:44:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:44:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:25:43.199404
2025-05-25 01:44:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-14.36
2025-05-25 01:44:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:44:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:49:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:49:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:30:43.202021
2025-05-25 01:49:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-17.58
2025-05-25 01:49:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:49:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:54:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:54:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:35:43.227457
2025-05-25 01:54:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-15.91
2025-05-25 01:54:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:54:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 01:59:28 | INFO     | crypto_bot      | monitor_performance | 📊 Performance Update:
2025-05-25 01:59:28 | INFO     | crypto_bot      | monitor_performance |    ⏱️  Uptime: 8:40:43.244652
2025-05-25 01:59:28 | INFO     | crypto_bot      | monitor_performance |    💰 Total P&L: $-13.68
2025-05-25 01:59:28 | INFO     | crypto_bot      | monitor_performance |    📈 Win Rate: 0.0%
2025-05-25 01:59:28 | INFO     | crypto_bot      | monitor_performance |    🎯 Total Trades: 5
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🚀 Starting Crypto AI Trading Bot v3.0
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | ============================================================
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Trading Symbols: 8 pairs
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Initial Balance: $10,000.00
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Max Position Size: 10.0%
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Grid Size: 8 orders per side
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Grid Spacing: 0.5%
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Stop Loss: 5.0%
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Max Daily Loss: 5.0%
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Signal Threshold: 1.5 (higher = fewer trades)
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | 🔧 Mode: Paper Trading
2025-05-25 07:07:06 | INFO     | crypto_bot      | start           | ============================================================
